r Qm L_r M_r T P rho kap eps clim rcf dlPdlT
-7939315163.7145538 5.2591767678929875 -9.9514433689343944e+51 -8.4715025913391529e+33 293041661.26176357 1.6626224964625433e+20 3630.2828506812984 0.3513196349864029 3.7299748881139571e+17 " " c 2.2200551502184256
-7925555518.7167797 5.2393124973772824 -9.9366385541163926e+51 -8.4319925572834159e+33 293397140.12314767 1.6671033744431425e+20 3634.6672676335443 0.35131544488023819 3.7642580176320896e+17 " " c 2.2194510391078692
-7911795873.7190056 5.2194932263944889 -9.9217317202938793e+51 -8.3925720272986391e+33 293752189.93271685 1.6715842394621077e+20 3639.040973520413 0.35131127645823229 3.7987497853222688e+17 " " c 2.2188468839172173
-7898036228.7212315 5.1997190593222875 -9.9067227411839384e+51 -8.3532412089920295e+33 294106809.3406058 1.6760650482344929e+20 3643.4039551711548 0.35130712959090765 3.8334504316216934e+17 " " c 2.2182426888236733
-7884276583.7234573 5.1799900995691832 -9.8916114966086514e+51 -8.3140003080431061e+33 294460996.99942416 1.6805457574772418e+20 3647.7561996277936 0.3513030041497317 3.8683601879569939e+17 " " c 2.2176384580114523
-7870516938.7256832 5.1603064495744952 -9.8763978725379764e+51 -8.2748495282036708e+33 294814751.56425852 1.685026323910001e+20 3652.0976941448703 0.35129890000710889 3.9034792766937606e+17 " " c 2.2170341956736328
-7856757293.7279091 5.1406682108083599 -9.8610817611320713e+51 -8.2357890712978291e+33 295168071.69267416 1.6895067042559295e+20 3656.4284261891871 0.35129481703637278 3.9388079110864416e+17 " " c 2.2164299060128951
-7842997648.730135 5.1210754837717749 -9.8456630607830733e+51 -8.1968191372220607e+33 295520956.04471648 1.6939868552425059e+20 3660.7483834395503 0.3512907551117786 3.9743462952291238e+17 " " c 2.2158255932389994
-7829238003.7323608 5.1015283679966519 -9.8301416761563035e+51 -8.1579399239453403e+33 295873403.28291261 1.6984667336023291e+20 3665.0575537864875 0.35128671410849549 4.0100946240066381e+17 " " c 2.2152212615713975
-7815478358.7345867 5.0820269620459078 -9.8145175182309119e+51 -8.1191516275093107e+33 296225412.07227284 1.7029462960739192e+20 3669.3559253319831 0.35128269390259909 4.0460530830464864e+17 " " c 2.2146169152378734
